"Name","Solution_Found","End_Reason","Actions","Cost","Expanded","Max_Depth","Max_Frontier","Runtime","Final_State"
"Breadth First Search",FALSE,"Iterations",NA,NA,2500,4,17265,1.6688,"?"
"Breadth First Search + GS",TRUE,"Solution",5,600,84,5,28,0.0476,"8,9,0"
"Depth First Search",FALSE,"Iterations",NA,NA,2500,2499,13754,2.3386,"?"
"Depth First Search + GS",TRUE,"Solution",13,1560,16,13,20,0.0039,"8,9,0"
"Depth Limited Search - Limit=20",FALSE,"Iterations",NA,NA,2500,20,118,0.1156,"?"
"Depth Limited Search - Limit=20 + GS",TRUE,"Solution",13,1560,16,13,20,0.0046,"8,9,0"
"Iterative Deepening Search - Final Limit=4",FALSE,"Iterations",NA,NA,2500,4,28,0.1208,"?"
"Iterative Deepening Search - Final Limit=8 + GS",TRUE,"Solution",7,840,345,7,16,0.0981,"8,9,0"
"Uniform Cost Search",FALSE,"Iterations",NA,NA,2500,4,17174,30.1293,"?"
"Uniform Cost Search + GS",TRUE,"Solution",5,600,80,5,28,0.0439,"8,9,0"
"Greedy Best-First Search",TRUE,"Solution",5,600,6,5,37,0.0028,"8,9,0"
"Greedy Best-First Search + GS",TRUE,"Solution",5,600,6,5,23,0.0027,"8,9,0"
"A* Search",TRUE,"Solution",5,600,16,5,111,0.0059,"8,9,0"
"A* Search + GS",TRUE,"Solution",5,600,10,5,28,0.0049,"8,9,0"
